fclt_name,sgnr_nm,legalemd_nm
울주옹기종기도서관,울주군,온양읍 운화리
약숫골도서관,중구,약사동
세종특별자치시평생교육학습관,세종시,조치원읍 침산리
고운동도서관,세종시,고운동
대평동도서관,세종시,대평동
도담동도서관,세종시,어진동
보람동도서관,세종시,보람동
새롬동도서관,세종시,새롬동
소담동도서관,세종시,보람동
아름동도서관,세종시,아름동
종촌동도서관,세종시,종촌동
한솔동도서관,세종시,한솔동
경기과천교육도서관,과천시,별양동
경기광주교육도서관,광주시,경안동
경기김포교육도서관,김포시,사우동
경기성남교육도서관,성남시 수정구,신흥동
경기평생교육학습관,수원시 권선구,권선동
경기중앙교육도서관,수원시 장안구,조원동
경기여주가남교육도서관,여주시,가남읍 태평리
경기의정부교육도서관,의정부시,녹양동
경기평택교육도서관,평택시,서정동
경기포천교육도서관,포천시,신읍동
경기화성교육도서관,화성시,향남읍 도이리
만화도서관,부천시 원미구,녹번동
부천예술정보도서관 다감,부천시 원미구,상동
화홍어린이도서관,수원시 팔달구,북수동
느티나무도서관,용인시 수지구,동천동
가평군립청평도서관,가평군,청평면 청평리
가평군조종도서관,가평군,조종면 현리
가평군중앙도서관,가평군,가평읍 읍내리
설악도서관,가평군,설악면 신천리
고양시립 신원도서관,고양시 덕양구,신원동
고양시립삼송도서관,고양시 덕양구,삼송동
고양시립원당도서관,고양시 덕양구,성사동
고양시립행신도서관,고양시 덕양구,행신동
고양시립행신어린이도서관,고양시 덕양구,행신동
고양시립화정도서관,고양시 덕양구,화정동
고양시립화정어린이도서관,고양시 덕양구,화정동
고양시립마두도서관,고양시 일산동구,마두동
고양시립백석도서관,고양시 일산동구,백석동
고양시립식사도서관,고양시 일산동구,식사동
고양시립아람누리도서관,고양시 일산동구,마두동
고양시립풍동도서관,고양시 일산동구,풍동
고양시립가좌도서관,고양시 일산서구,가좌동
고양시립대화도서관,고양시 일산서구,대화동
고양시립덕이도서관,고양시 일산서구,덕이동
고양시립주엽어린이도서관,고양시 일산서구,주엽동
고양시립한뫼도서관,고양시 일산서구,일산동
과천시문원도서관,과천시,문원동
과천시정보과학도서관,과천시,갈현동
광명시 광명도서관,광명시,광명동
광명시소하도서관,광명시,소하동
광명시철산도서관,광명시,철산동
광명시충현도서관,광명시,소하동
광명시하안도서관,광명시,하안동
곤지암도서관,광주시,곤지암읍 곤지암리
광주시립중앙도서관,광주시,경안동
능평도서관,광주시,오포읍 능평리
오포도서관,광주시,오포읍 고산리
초월도서관,광주시,초월읍 대쌍령리
구리시교문도서관,구리시,교문동
구리시립토평도서관,구리시,토평동
구리시인창도서관,구리시,인창동
군포부곡도서관,군포시,부곡동
군포시 당동도서관,군포시,당동
군포시 대야도서관,군포시,대야미동
군포시 산본도서관,군포시,산본동
군포시 어린이도서관,군포시,산본동
군포시 중앙도서관,군포시,산본동
고촌도서관,김포시,고촌읍 신곡리
김포시 통진도서관,김포시,통진읍 서암리
양곡도서관,김포시,양촌읍 양곡리
중봉도서관,김포시,북변동
남양주시 호평도서관,남양주시,호평동
남양주시도농도서관,남양주시,다산동
남양주시별내도서관,남양주시,별내면 청학리
남양주시오남도서관,남양주시,오남읍 양지리
남양주시와부도서관,남양주시,와부읍 덕소리
남양주시진건도서관,남양주시,진건읍 사능리
남양주시진접도서관,남양주시,진접읍 장현리
남양주시진접푸른숲도서관,남양주시,진접읍 금곡리
남양주시퇴계원도서관,남양주시,퇴계원읍 퇴계원리
남양주시평내도서관,남양주시,평내동
남양주시화도도서관,남양주시,화도읍 창현리
별빛도서관,남양주시,별내동
동두천꿈나무정보도서관,동두천시,지행동
동두천시립도서관,동두천시,상패동
부천시립송내도서관,부천시 소사구,송내동
부천시립심곡도서관,부천시 소사구,심곡본동
부천시립한울빛도서관,부천시 소사구,소사본동
부천시립꿈여울도서관,부천시 오정구,작동
부천시립오정도서관,부천시 오정구,오정동
부천시립꿈빛도서관,부천시 원미구,중동
부천시립도당도서관,부천시 원미구,도당동
부천시립동화도서관,부천시 원미구,상동
부천시립북부도서관,부천시 원미구,도당동
부천시립상동도서관,부천시 원미구,상동
부천시립원미도서관,부천시 원미구,원미동
부천시립책마루도서관,부천시 원미구,중동
해밀도서관,부천시 원미구,중동
성남시구미도서관,성남시 분당구,구미동
성남시무지개도서관,성남시 분당구,구미동
성남시분당도서관,성남시 분당구,정자동
성남시운중도서관,성남시 분당구,운중동
성남시중앙도서관,성남시 분당구,야탑동
성남시판교어린이도서관,성남시 분당구,백현동
판교도서관,성남시 분당구,판교동
논골도서관,성남시 수정구,단대동
성남시수정도서관,성남시 수정구,산성동
성남시중원도서관,성남시 중원구,성남동
성남시중원어린이도서관,성남시 중원구,금광동
해오름도서관,성남시 중원구,풍덕천동
수원시버드내도서관,수원시 권선구,세류동
수원시서수원도서관,수원시 권선구,탑동
수원시한림도서관,수원시 권선구,권선동
수원시호매실도서관,수원시 권선구,호매실동
지혜샘어린이도서관,수원시 권선구,화순읍 일심리
희망샘도서관,수원시 권선구,고색동
바른샘어린이도서관,수원시 영통구,매탄동
반달어린이도서관,수원시 영통구,영통동
사랑샘도서관,수원시 영통구,이의동
수원시광교푸른숲도서관,수원시 영통구,하동
수원시광교홍재도서관,수원시 영통구,이의동
수원시매여울도서관,수원시 영통구,매탄동
수원시영통도서관,수원시 영통구,영통동
수원시태장마루도서관,수원시 영통구,망포동
수원시대추골도서관,수원시 장안구,조원동
수원시북수원도서관,수원시 장안구,정자동
수원시일월도서관,수원시 장안구,천천동
슬기샘어린이도서관,수원시 장안구,송죽동
수원시선경도서관,수원시 팔달구,신풍동
수원시중앙도서관,수원시 팔달구,교동
수원시창룡도서관,수원시 팔달구,우만동
수원시화서다산도서관,수원시 팔달구,화서동
한아름도서관 (수원청소년문화센터내),수원시 팔달구,인계동
시흥시군자도서관,시흥시,거모동
시흥시능곡도서관,시흥시,능곡동
시흥시대야도서관,시흥시,대야동
시흥시대야어린이도서관,시흥시,대야동
시흥시매화도서관,시흥시,매화동
시흥시신천도서관,시흥시,신천동
시흥시장곡도서관,시흥시,장곡동
시흥시중앙도서관,시흥시,정왕동
월곶도서관,시흥시,월곶동
정왕어린이도서관,시흥시,정왕동
대부도서관,안산시 단원구,대부북동
선부도서관,안산시 단원구,선부동
안산단원어린이도서관,안산시 단원구,초지동
안산미디어라이브러리,안산시 단원구,고잔동
안산시관산도서관,안산시 단원구,원곡동
안산시중앙도서관,안산시 단원구,고잔동
원고잔도서관,안산시 단원구,고잔동
반월도서관,안산시 상록구,건건동
본오도서관,안산시 상록구,본오동
수암도서관,안산시 상록구,수암동
안산시 감골도서관,안산시 상록구,사동
안산시 부곡도서관,안산시 상록구,부곡동
안산시 일동도서관,안산시 상록구,일동
안산시립상록어린이도서관,안산시 상록구,일동
안산시성포도서관,안산시 상록구,성포동
안성시립공도도서관,안성시,공도읍 만정리
안성시립보개도서관,안성시,보개면 양복리
안성시립일죽도서관,안성시,일죽면 송천리
안성시립중앙도서관,안성시,금산동
안성시립진사도서관,안성시,공도읍 진사리
안양시립관양도서관,안양시 동안구,관양동
안양시립비산도서관,안양시 동안구,비산동
안양시벌말도서관,안양시 동안구,평촌동
안양시평촌도서관,안양시 동안구,관양동
안양시호계도서관,안양시 동안구,호계동
안양어린이도서관,안양시 동안구,호계동
안양시립삼덕도서관,안양시 만안구,안양동
안양시만안도서관,안양시 만안구,석수동
안양시박달도서관,안양시 만안구,박달동
안양시석수도서관,안양시 만안구,석수동
광적도서관,양주시,광적면 가납리
양주시 고읍도서관,양주시,광사동
양주시 남면도서관,양주시,남면 신산리
양주시 덕계도서관,양주시,덕계동
양주시덕정도서관,양주시,덕정동
양주시립꿈나무도서관,양주시,백석읍 오산리
양주희망도서관,양주시,삼숭동
양평 양서친환경도서관,양평군,양서면 용담리
양평군립양동도서관,양평군,양동면 쌍학리
양평군립중앙도서관,양평군,양평읍 양근리
양평군립지평도서관,양평군,지평면 지평리
양평어린이도서관,양평군,양평읍 양근리
양평용문도서관,양평군,용문면 다문리
세종도서관,여주시,어진동
여주도서관,여주시,천송동
점동도서관,여주시,점동면 청안리
연천군 중앙도서관,연천군,전곡읍 전곡리
연천도서관,연천군,연천읍 차탄리
양산도서관,오산시,북부동
오산시 꿈두레도서관,오산시,세교동
오산시 중앙도서관,오산시,오산동
오산시 청학도서관,오산시,청학동
오산시립 햇살마루 도서관,오산시,원동
오산시초평도서관,오산시,누읍동
보라도서관,용인시 기흥구,보라동
용인시 기흥도서관,용인시 기흥구,신갈동
용인시 동백도서관,용인시 기흥구,중동
용인시 흥덕도서관,용인시 기흥구,영덕동
용인시구갈희망누리도서관,용인시 기흥구,구갈동
용인시구성도서관,용인시 기흥구,언남동
상현도서관,용인시 수지구,상현동
용인시수지도서관,용인시 수지구,풍덕천동
용인시죽전도서관,용인시 수지구,죽전동
남사도서관,용인시 처인구,남사면 아곡리
용인시 모현도서관,용인시 처인구,모현읍 왕산리
용인시 청덕도서관,용인시 처인구,청덕동
용인시디지털정보도서관,용인시 처인구,삼가동
용인시양지해밀도서관,용인시 처인구,양지면 양지리
용인시포곡도서관,용인시 처인구,포곡읍 삼계리
용인중앙도서관,용인시 처인구,역북동
