mlsfc,fclt_name,sgnr_nm,legalemd_nm
공공도서관,울산남구도산도서관,남구,야음동
공공도서관,울산남구신복도서관,남구,무거동
공공도서관,울산도서관,남구,여천동
공공도서관,농소1동도서관,북구,호계동
공공도서관,매곡도서관,북구,매곡동
공공도서관,명촌어린이도서관,북구,명촌동
공공도서관,염포양정도서관,북구,염포동
공공도서관,울산농소3동도서관,북구,천곡동
공공도서관,울산북구기적의도서관,북구,중산동
공공도서관,울산북구중앙도서관,북구,연암동
공공도서관,울주선바위도서관,울주군,범서읍 구영리
공공도서관,울주옹기종기도서관,울주군,온양읍 운화리
공공도서관,약숫골도서관,중구,약사동
공공도서관,세종특별자치시평생교육학습관,세종시,조치원읍 침산리
공공도서관,고운동도서관,세종시,고운동
공공도서관,대평동도서관,세종시,대평동
공공도서관,도담동도서관,세종시,어진동
공공도서관,보람동도서관,세종시,보람동
공공도서관,새롬동도서관,세종시,새롬동
공공도서관,소담동도서관,세종시,보람동
공공도서관,아름동도서관,세종시,아름동
공공도서관,종촌동도서관,세종시,종촌동
공공도서관,한솔동도서관,세종시,한솔동
공공도서관,경기과천교육도서관,과천시,별양동
공공도서관,경기광주교육도서관,광주시,경안동
공공도서관,경기김포교육도서관,김포시,사우동
공공도서관,경기성남교육도서관,성남시 수정구,신흥동
공공도서관,경기평생교육학습관,수원시 권선구,권선동
공공도서관,경기중앙교육도서관,수원시 장안구,조원동
공공도서관,경기여주가남교육도서관,여주시,가남읍 태평리
공공도서관,경기의정부교육도서관,의정부시,녹양동
공공도서관,경기평택교육도서관,평택시,서정동
공공도서관,경기포천교육도서관,포천시,신읍동
공공도서관,경기화성교육도서관,화성시,향남읍 도이리
공공도서관,만화도서관,부천시 원미구,녹번동
공공도서관,부천예술정보도서관 다감,부천시 원미구,상동
공공도서관,화홍어린이도서관,수원시 팔달구,북수동
공공도서관,느티나무도서관,용인시 수지구,동천동
공공도서관,가평군립청평도서관,가평군,청평면 청평리
공공도서관,가평군조종도서관,가평군,조종면 현리
공공도서관,가평군중앙도서관,가평군,가평읍 읍내리
공공도서관,설악도서관,가평군,설악면 신천리
공공도서관,고양시립 신원도서관,고양시 덕양구,신원동
공공도서관,고양시립삼송도서관,고양시 덕양구,삼송동
공공도서관,고양시립원당도서관,고양시 덕양구,성사동
공공도서관,고양시립행신도서관,고양시 덕양구,행신동
공공도서관,고양시립행신어린이도서관,고양시 덕양구,행신동
공공도서관,고양시립화정도서관,고양시 덕양구,화정동
공공도서관,고양시립화정어린이도서관,고양시 덕양구,화정동
공공도서관,고양시립마두도서관,고양시 일산동구,마두동
공공도서관,고양시립백석도서관,고양시 일산동구,백석동
공공도서관,고양시립식사도서관,고양시 일산동구,식사동
공공도서관,고양시립아람누리도서관,고양시 일산동구,마두동
공공도서관,고양시립풍동도서관,고양시 일산동구,풍동
공공도서관,고양시립가좌도서관,고양시 일산서구,가좌동
공공도서관,고양시립대화도서관,고양시 일산서구,대화동
공공도서관,고양시립덕이도서관,고양시 일산서구,덕이동
공공도서관,고양시립주엽어린이도서관,고양시 일산서구,주엽동
공공도서관,고양시립한뫼도서관,고양시 일산서구,일산동
공공도서관,과천시문원도서관,과천시,문원동
공공도서관,과천시정보과학도서관,과천시,갈현동
공공도서관,광명시 광명도서관,광명시,광명동
공공도서관,광명시소하도서관,광명시,소하동
공공도서관,광명시철산도서관,광명시,철산동
공공도서관,광명시충현도서관,광명시,소하동
공공도서관,광명시하안도서관,광명시,하안동
공공도서관,곤지암도서관,광주시,곤지암읍 곤지암리
공공도서관,광주시립중앙도서관,광주시,경안동
공공도서관,능평도서관,광주시,오포읍 능평리
공공도서관,오포도서관,광주시,오포읍 고산리
공공도서관,초월도서관,광주시,초월읍 대쌍령리
공공도서관,구리시교문도서관,구리시,교문동
공공도서관,구리시립토평도서관,구리시,토평동
공공도서관,구리시인창도서관,구리시,인창동
공공도서관,군포부곡도서관,군포시,부곡동
공공도서관,군포시 당동도서관,군포시,당동
공공도서관,군포시 대야도서관,군포시,대야미동
공공도서관,군포시 산본도서관,군포시,산본동
공공도서관,군포시 어린이도서관,군포시,산본동
공공도서관,군포시 중앙도서관,군포시,산본동
공공도서관,고촌도서관,김포시,고촌읍 신곡리
공공도서관,김포시 통진도서관,김포시,통진읍 서암리
공공도서관,양곡도서관,김포시,양촌읍 양곡리
공공도서관,중봉도서관,김포시,북변동
공공도서관,남양주시 호평도서관,남양주시,호평동
공공도서관,남양주시도농도서관,남양주시,다산동
공공도서관,남양주시별내도서관,남양주시,별내면 청학리
공공도서관,남양주시오남도서관,남양주시,오남읍 양지리
공공도서관,남양주시와부도서관,남양주시,와부읍 덕소리
공공도서관,남양주시진건도서관,남양주시,진건읍 사능리
공공도서관,남양주시진접도서관,남양주시,진접읍 장현리
공공도서관,남양주시진접푸른숲도서관,남양주시,진접읍 금곡리
공공도서관,남양주시퇴계원도서관,남양주시,퇴계원읍 퇴계원리
공공도서관,남양주시평내도서관,남양주시,평내동
공공도서관,남양주시화도도서관,남양주시,화도읍 창현리
공공도서관,별빛도서관,남양주시,별내동
공공도서관,동두천꿈나무정보도서관,동두천시,지행동
공공도서관,동두천시립도서관,동두천시,상패동
공공도서관,부천시립송내도서관,부천시 소사구,송내동
공공도서관,부천시립심곡도서관,부천시 소사구,심곡본동
공공도서관,부천시립한울빛도서관,부천시 소사구,소사본동
공공도서관,부천시립꿈여울도서관,부천시 오정구,작동
공공도서관,부천시립오정도서관,부천시 오정구,오정동
공공도서관,부천시립꿈빛도서관,부천시 원미구,중동
공공도서관,부천시립도당도서관,부천시 원미구,도당동
공공도서관,부천시립동화도서관,부천시 원미구,상동
공공도서관,부천시립북부도서관,부천시 원미구,도당동
공공도서관,부천시립상동도서관,부천시 원미구,상동
공공도서관,부천시립원미도서관,부천시 원미구,원미동
공공도서관,부천시립책마루도서관,부천시 원미구,중동
공공도서관,해밀도서관,부천시 원미구,중동
공공도서관,성남시구미도서관,성남시 분당구,구미동
공공도서관,성남시무지개도서관,성남시 분당구,구미동
공공도서관,성남시분당도서관,성남시 분당구,정자동
공공도서관,성남시운중도서관,성남시 분당구,운중동
공공도서관,성남시중앙도서관,성남시 분당구,야탑동
공공도서관,성남시판교어린이도서관,성남시 분당구,백현동
공공도서관,판교도서관,성남시 분당구,판교동
공공도서관,논골도서관,성남시 수정구,단대동
공공도서관,성남시수정도서관,성남시 수정구,산성동
공공도서관,성남시중원도서관,성남시 중원구,성남동
공공도서관,성남시중원어린이도서관,성남시 중원구,금광동
공공도서관,해오름도서관,성남시 중원구,풍덕천동
공공도서관,수원시버드내도서관,수원시 권선구,세류동
공공도서관,수원시서수원도서관,수원시 권선구,탑동
공공도서관,수원시한림도서관,수원시 권선구,권선동
공공도서관,수원시호매실도서관,수원시 권선구,호매실동
공공도서관,지혜샘어린이도서관,수원시 권선구,화순읍 일심리
공공도서관,희망샘도서관,수원시 권선구,고색동
공공도서관,바른샘어린이도서관,수원시 영통구,매탄동
공공도서관,반달어린이도서관,수원시 영통구,영통동
공공도서관,사랑샘도서관,수원시 영통구,이의동
공공도서관,수원시광교푸른숲도서관,수원시 영통구,하동
공공도서관,수원시광교홍재도서관,수원시 영통구,이의동
공공도서관,수원시매여울도서관,수원시 영통구,매탄동
공공도서관,수원시영통도서관,수원시 영통구,영통동
공공도서관,수원시태장마루도서관,수원시 영통구,망포동
공공도서관,수원시대추골도서관,수원시 장안구,조원동
공공도서관,수원시북수원도서관,수원시 장안구,정자동
공공도서관,수원시일월도서관,수원시 장안구,천천동
공공도서관,슬기샘어린이도서관,수원시 장안구,송죽동
공공도서관,수원시선경도서관,수원시 팔달구,신풍동
공공도서관,수원시중앙도서관,수원시 팔달구,교동
공공도서관,수원시창룡도서관,수원시 팔달구,우만동
공공도서관,수원시화서다산도서관,수원시 팔달구,화서동
공공도서관,한아름도서관 (수원청소년문화센터내),수원시 팔달구,인계동
공공도서관,시흥시군자도서관,시흥시,거모동
공공도서관,시흥시능곡도서관,시흥시,능곡동
공공도서관,시흥시대야도서관,시흥시,대야동
공공도서관,시흥시대야어린이도서관,시흥시,대야동
공공도서관,시흥시매화도서관,시흥시,매화동
공공도서관,시흥시신천도서관,시흥시,신천동
공공도서관,시흥시장곡도서관,시흥시,장곡동
공공도서관,시흥시중앙도서관,시흥시,정왕동
공공도서관,월곶도서관,시흥시,월곶동
공공도서관,정왕어린이도서관,시흥시,정왕동
공공도서관,대부도서관,안산시 단원구,대부북동
공공도서관,선부도서관,안산시 단원구,선부동
공공도서관,안산단원어린이도서관,안산시 단원구,초지동
공공도서관,안산미디어라이브러리,안산시 단원구,고잔동
공공도서관,안산시관산도서관,안산시 단원구,원곡동
공공도서관,안산시중앙도서관,안산시 단원구,고잔동
공공도서관,원고잔도서관,안산시 단원구,고잔동
공공도서관,반월도서관,안산시 상록구,건건동
공공도서관,본오도서관,안산시 상록구,본오동
공공도서관,수암도서관,안산시 상록구,수암동
공공도서관,안산시 감골도서관,안산시 상록구,사동
공공도서관,안산시 부곡도서관,안산시 상록구,부곡동
공공도서관,안산시 일동도서관,안산시 상록구,일동
공공도서관,안산시립상록어린이도서관,안산시 상록구,일동
공공도서관,안산시성포도서관,안산시 상록구,성포동
